"","ID","AIC","lnB0","E","B0"
"217","415",5.16905422105369,-10.4746494331341,0.0964260463982397,2.82434373618537e-05
"218","417",11.0142812400767,-12.5170966196545,0.429857010569393,3.66348154953156e-06
"219","418",4.36650492206982,-10.3908299636348,0.0911461346665406,3.07128334315202e-05
"220","420",17.9448832120084,-13.11603305828,0.553813497625448,2.01270079588108e-06
"221","421",-0.505596362176099,-9.94840290144207,0.0656606642961311,4.78039205745597e-05
"222","423",9.72136797696606,-12.3217711109976,0.448018407867482,4.45371886407092e-06
"223","424",-6.57083907611756,-8.22663277482196,0.114110782631495,0.000267435330813949
"224","426",16.061177011698,-9.30841511686504,0.204778174461983,9.06581138914944e-05
"225","428",18.7371148199612,-8.77941764429679,0.00762961743980589,0.000153867664824775
"226","430",1.01024259530867,-8.52272402050994,0.2049412846011,0.00019889688755648
"227","431",16.0133524382912,-8.55459915454894,0.0894560028720857,0.000192656999553065
"228","432",-11.1979028412287,-8.98186774761298,0.283905721185126,0.000125667912226978
"229","433",17.7750866046894,-9.48608109016722,0.106259906011333,7.59009702659177e-05
"230","434",22.5313492026243,-9.06129005722175,0.0905042844285702,0.00011607313896547
"231","435",-3.09720702744241,-9.27139283946373,0.153359069154871,9.40773878439332e-05
"232","436",6.19082455395036,-9.53579684740457,0.296310792223907,7.22197612923787e-05
"233","437",8.05317126203234,-9.67499854357529,0.395672139188488,6.28349856310117e-05
"234","438",7.16454053096159,-9.18007404888243,0.312438372175215,0.000103072900434025
"235","439",12.5812850953393,-10.1396952732367,0.33076846867426,3.94808318587725e-05
"236","440",13.3153976229512,-9.46611954187426,0.238766599946413,7.74312941519388e-05
"237","443",23.6703391579154,-2.40000608209487,0.56424078759382,0.0907174015358921
"238","444",20.4789496524219,-0.725280191781238,0.12782385044592,0.484188884201454
"239","445",NA,NA,NA,NA
"240","446",18.2261248568342,-4.78446544401508,0.708595641562626,0.00835859068859967
"241","447",16.8006635176293,-8.96820968072547,0.0223096802764651,0.00012739606774512
"242","449",8.17563522044203,-11.7256390759633,0.446171075566445,8.08387617395184e-06
"243","450",8.73926482543787,-10.3754472958351,0.128025640331695,3.11889311840938e-05
"244","451",27.7111434209405,-5.06456546073717,0.798985561399056,0.00631665514119016
"245","454",20.3225011027254,-4.73076596996385,0.713480450833035,0.00881971281665185
"246","455",13.8506636060269,-10.0075163047507,0,4.5059969278531e-05
"247","456",10.2119657049936,-9.97673252440099,0.0988670631244682,4.64686565933923e-05
"248","457",8.20862804661513,-10.5111519157319,0.309140102769663,2.72310711280038e-05
"249","458",6.34752311678393,-11.4599867996399,0.436266568470633,1.05436497400873e-05
"250","459",11.5428987258539,1.49456833218514,0.898908116739553,4.4574120161925
"251","460",-5.93614714995808,1.30349168953624,0.629814152798398,3.68213110629685
"252","461",-8.36639153829356,0.982485764231396,0.617822874443681,2.67108769064608
"253","462",16.8214748951059,-14.5561039077314,0.442476020535868,4.76830904061075e-07
"254","463",15.9935723500086,-14.3909587268756,0.437123198896201,5.62452738481208e-07
"255","464",19.1848521255441,-13.3918540540549,0.357537252456813,1.52753680073768e-06
"256","465",16.6454084633199,-13.1388428417554,0.328726377977535,1.9673111583778e-06
"257","466",11.4153679678613,-14.0696241422821,0.462450969762679,7.75603700625834e-07
"258","467",11.0055973257891,-13.9999722847183,0.460103849718529,8.31551765475591e-07
"259","468",12.9495065196537,-12.9901225438059,0.395335675457481,2.28276633917054e-06
"260","469",6.51046112095178,-12.7003180950955,0.349681940075099,3.05015516430752e-06
"261","470",1.28671574013536,-11.227211796988,0.368498945144558,1.33071137542398e-05
"262","471",15.8028833233367,-10.3706127974842,0.277069209391242,3.13400790882268e-05
"263","472",2.49568435718354,-11.0323585111677,0.334259927314147,1.61699090150217e-05
"264","473",2.26507655913463,-10.6209807826756,0.27845575455557,2.43986981236777e-05
"265","474",9.98945344848049,-10.6078911079116,0.302301630277289,2.47201685282646e-05
"266","475",0.837934295973634,-10.9534056361064,0.363664980168115,1.74983207968163e-05
"267","476",7.1233161665268,-10.7955108977863,0.321641950378934,2.0491284720801e-05
"268","477",8.73463850299389,-10.9304347385659,0.401727149399313,1.79049250847045e-05
"269","478",3.76611422863707,-10.70755440659,0.294489938521424,2.23752659779802e-05
"270","479",-1.34690256693801,-11.3341270270874,0.334854273528379,1.19577969598847e-05
"271","480",-12.6854045508286,-11.0747102512494,0.390734419909738,1.54993843954645e-05
"272","481",-5.89122011934358,-11.4866904150235,0.613909314172435,1.02658221821279e-05
"273","482",-5.36110159801736,-11.4175923964731,0.568193850780781,1.10002517785018e-05
"274","483",8.80281423372778,-8.82861169198171,0.401840144566195,0.000146481459770751
"275","486",-65.4146489915894,-16.5721568213499,0.505814243974747,6.35043886174625e-08
"276","488",-43.2636506472906,-17.2040339122722,0.527797797443799,3.37584894407886e-08
"277","490",-57.0453372016111,-17.2123118009175,0.531634764629981,3.34801938634094e-08
"278","491",-14.3547231994906,-16.6654325620132,0.657397883272878,5.78488326736105e-08
"279","492",-8.42784123028053,-16.8274182614956,0.523778575139883,4.91977344882288e-08
"280","493",-15.4135536125459,-16.2571685395651,0.650960298784634,8.70164601061281e-08
"281","494",-10.6416510971542,-16.2401317710342,0.498644853626975,8.85116397453765e-08
"282","495",-13.8421762537607,-16.2617422161589,0.635226775831733,8.66193837009802e-08
"283","496",4.24151918825917,-17.2511112072747,0.760303705565284,3.22060598734529e-08
"284","497",-9.06845880761555,-16.8375933407312,0.705713474930524,4.86996818014079e-08
"285","498",-19.1628635740213,-13.4938822439533,0.653458867560176,1.37937198742368e-06
"286","499",-8.46516042819261,-14.0401118340536,0.523140181613421,7.98834669751633e-07
"287","500",-16.6092359872837,-13.7242312293137,0.657011721703541,1.09557498800455e-06
"288","501",-10.5722187923102,-13.5438871061424,0.494886380795108,1.31209284211039e-06
"289","502",-14.6762141919766,-13.5933664564225,0.630423605954187,1.24875131188892e-06
"290","503",4.42748980579876,-14.7428906372988,0.76444062295103,3.95588765079592e-07
"291","504",-8.23178960208374,-13.910693356931,0.702240353733993,9.09206717228065e-07
"292","506",6.05459527839874,-10.7391332201747,0.283167844219717,2.16797216569949e-05
"293","507",9.18353357520597,-2.9410897761155,0.520813286562702,0.0528081483104288
"294","508",-47.0376973566796,4.13598203006557,0.137727002566581,62.550987869499
"295","509",-22.0934612633437,3.89855505066569,0.204787655118018,49.3311166179084
"296","510",-24.6850222684236,4.59639181438913,0.00657655363206465,99.126004580872
"297","512",-35.4161415154797,3.94066752680108,0.19476433496985,51.4529360533782
"298","513",-22.0050008613407,3.82512633421768,0.227870176005729,45.8385909830806
