,OriginalID,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness
1329,Atk278,1.90E-06,55.916,21.394,Inf,0.458077821,0.144277085,1.712238172,Inf,Inf,16.625,0.313800736
1330,Atk279,1.84E-06,57.099,15.309,Inf,0.345793391,0.464927347,1.499812526,Inf,Inf,18.342,-0.119133957
1331,Atk28,2.46E-06,53.506,15.365,93.803,0.265055038,0.469100797,1.369511355,40.297,78.438,25.796,-0.204045759
1332,Atk280,2.25E-06,57.329,19.543,Inf,0.400992561,NA,1.599294148,Inf,Inf,13.672,NA
1333,Atk281,2.69E-06,63,20.127,Inf,0.348100306,NA,1.491422795,Inf,Inf,14.194,NA
1334,Atk282,2.66E-06,56.245,10.672,68.452,0.26049992,0.499922532,1.366410187,12.207,57.78,14.915,-0.239422612
1335,Atk283,2.65E-06,59,7.777,Inf,0.229606012,NA,1.313416655,Inf,Inf,10.919,NA
1336,Atk284,2.77E-06,56,17.89,Inf,0.418273932,NA,1.642283307,Inf,Inf,11.718,NA
1337,Atk285,1.95E-06,47.708,18.144,Inf,0.531002269,0.189179767,1.920226114,Inf,Inf,14.342,0.341822502
1338,Atk286,1.81E-06,53,23.881,Inf,0.62827761,NA,2.12129143,Inf,Inf,10.7,NA
1339,Atk287,1.46E-06,38.515,20.669,73.146,1.050199296,0.67356714,NA,34.631,52.477,11.332,0.376632156
1340,Atk288,1.66E-06,53.513,26.762,Inf,0.765760669,0.181158551,2.497208093,Inf,Inf,12.737,0.584602118
1341,Atk289,1.96E-06,48,21.507,Inf,0.678985592,NA,2.295393454,Inf,Inf,7.852,NA
1342,Atk29,2.52E-06,51.03,9.347,79.647,0.20851016,0.612129734,1.285284947,28.617,70.3,24.696,-0.403619574
1343,Atk290,1.96E-06,52.389,24.075,96.622,0.698534801,NA,2.313578056,44.233,72.547,9.756,NA
1344,Atk291,1.75E-06,47.48,22.581,75.331,0.789828079,0.764873797,2.625956235,27.851,52.75,8.824,0.024954281
1345,Atk292,1.77E-06,52.229,23.093,Inf,0.580741253,NA,2.015007056,Inf,Inf,12.305,NA
1346,Atk293,1.80E-06,41.012,20.664,61.675,0.948423726,1.099562634,NA,20.663,41.011,9.323,-0.151138908
1347,Atk294,2.51E-06,48.339,17.784,67.145,0.588519446,0.495858342,2.055704975,18.806,49.361,11.276,0.092661104
1348,Atk295,2.41E-06,53.693,21.224,Inf,0.540771659,0.404386853,1.909010969,Inf,Inf,13.122,0.136384806
1349,Atk296,1.94E-06,43.077,19.518,67.288,0.744735315,0.499387444,2.527435788,24.211,47.77,11.121,0.245347871
1350,Atk297,2.31E-06,47.832,18.507,54.407,0.5700765,2.078490957,2.013052445,6.575,35.9,9.272,-1.508414457
1351,Atk298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1352,Atk299,2.20E-06,55,18.101,Inf,0.418252798,NA,1.645791276,Inf,Inf,11.897,NA
1353,Atk3,1.64E-06,59.934,-11.682,67.141,0.274847011,0.818698302,1.369920183,7.207,78.823,11.658,-0.54385129
1354,Atk30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
