,OriginalID,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness
1106,1186,6.31E-06,13.092,#NAME?,26.753,0.24947523,1.505305767,1.439316081,13.661,Inf,14.922,-1.255830537
1076,1148,8.99E-05,13.085,#NAME?,74.639,NA,0.151502464,NA,61.554,Inf,23.911,NA
932,990,-2.01E-06,13,13,13,NA,-0.393052269,NA,0,0,#NAME?,NA
933,991,-2.11E-06,13,13,13,NA,-0.349337559,NA,0,0,#NAME?,NA
934,992,-1.62E-06,13,13,13,NA,-0.605025481,NA,0,0,#NAME?,NA
936,994,-1.03E-06,13,13,13,NA,-0.44714191,NA,0,0,#NAME?,NA
1108,1188,3.68E-06,12.508,#NAME?,40.13,0.235862223,0.459330396,1.416939112,27.622,Inf,18.741,-0.223468172
1109,1189,5.86E-06,12.355,#NAME?,45.594,0.178887862,0.383774159,1.299632529,33.239,Inf,20.555,-0.204886297
494,524,6.46E-07,12.1022472,-1.7847528,17.9982472,1.209627813,2.434864904,5.829946248,5.896,19.783,3.4,-1.225237091
1497,Atk429,-1.33E-09,11,11,11,NA,0.301408308,NA,0,0,#NAME?,NA
499,529,7.04E-07,10.84374514,-15.78425486,14.55174514,0.930943169,1.808135815,4.017110789,3.708,30.336,3.966,-0.877192646
7,7,2.45E-06,10.003,#NAME?,31.618,NA,NA,NA,21.615,Inf,19.029,NA
930,988,-5.60E-07,10,10,10,NA,-0.038499274,NA,0,0,#NAME?,NA
1128,39615,3.12E-05,10,#NAME?,30.733,NA,0.38400236,NA,20.733,Inf,13.729,NA
227,255,5.91E-07,9.192,#NAME?,14.977,-0.17747144,0.052252245,0.770266164,5.785,Inf,5.118,-0.229723684
495,525,7.01E-07,8.8593643,-19.2266357,11.1333643,1.014170081,6.489591762,4.596766865,2.274,30.36,3.477,-5.47542168
952,1022,-3.25E-07,7.934,7.934,7.934,NA,-0.716761181,NA,0,2.66E-15,#NAME?,NA
497,527,3.78E-07,7.9206385,-13.9633615,19.8326385,0.826115065,1.270538723,3.537619397,11.912,33.796,6.125,-0.444423657
953,1023,-5.50E-09,7.795,7.794,7.795,NA,-0.615617294,NA,0,0.001,#NAME?,NA
554,584,1.67E-05,6.0137343,#NAME?,25.4577343,NA,0.467542056,NA,19.444,Inf,15.398,NA
361,389,1.79E-05,5.8843107,#NAME?,45.4263107,NA,0.137643041,NA,39.542,Inf,28.256,NA
134,134,-3.56E-09,5,5,5,NA,-0.452049642,NA,0,0,#NAME?,NA
615,645,0.000855993,5,#NAME?,44.058,NA,0.182084558,NA,39.058,Inf,17.746,NA
1073,1145,-3.39E-06,5,5,5,NA,-0.348101271,NA,0,0,#NAME?,NA
1074,1146,-1.66E-05,5,5,5,NA,-0.264502245,NA,0,0,#NAME?,NA
1115,39602,9.84E-06,5,#NAME?,Inf,NA,0.086384321,NA,Inf,Inf,26.501,NA
962,1032,9.47E-14,4.983,#NAME?,48.973,NA,-0.107499334,NA,43.99,Inf,11.728,NA
226,254,2.93E-07,2,#NAME?,18.873,NA,0.206392056,NA,16.873,Inf,7.061,NA
27,27,-0.17461838,1,1,1,NA,-0.182830962,NA,0,0,#NAME?,NA
30,30,-0.013395776,1,1,1,NA,-0.822597147,NA,0,0,#NAME?,NA
285,313,5.39E-06,-1.268071,-29.564071,0.870929,2.148934758,NA,31.85028,2.139,30.435,3.605,NA
284,312,1.47E-05,-2.263216,-56.234216,0.070784,1.315425605,0.613558019,NA,2.334,56.305,6.212,0.701867585
