"","rmax","topt","ctmin","ctmax","e","eh","q10","thermal_safety_margin","thermal_tolerance","breadth","skewness","orginalID"
"1742",2.94347258296888e-06,54.912,13.909,70.901,0.323277544986068,0.750600140266367,1.47171904152656,15.989,56.992,16.431,-0.427322595280299,"Atk65"
"1743",2.34834906625959e-06,55.989,17.466,64.356,0.400343406524094,1.74630901177908,1.61204776769244,8.36699999999999,46.89,14.238,-1.34596560525499,"Atk650"
"1744",1.96300257652525e-06,55.656,28.218,77.342,0.747926190290591,0.405712676423485,2.41440750596787,21.686,49.124,11.007,0.342213513867106,"Atk651"
"1745",2.05872048930106e-06,55.919,27.71,62.915,0.708414509662107,0.749736144314307,2.29454724817953,6.996,35.205,7.461,-0.0413216346521998,"Atk652"
"1746",2.09238373203465e-06,59,25.909,Inf,0.513798642270344,NA,1.80896007301486,Inf,Inf,10.405,NA,"Atk653"
"1747",1.66254459283937e-06,60.511,33.814,106.461,0.831954506217259,NA,2.60212035660894,45.95,72.647,9.832,NA,"Atk654"
"1748",1.8322616416218e-06,56.585,33.131,80.786,0.920043799240582,0.519103980850126,2.92313386367861,24.201,47.655,11.467,0.400939818390456,"Atk655"
"1749",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atk656"
"1750",1.8551890492588e-06,55.351,28.327,78.916,NA,0.497828148376286,NA,23.565,50.589,12.976,NA,"Atk657"
"1751",2.21269638717609e-06,57,18.924,Inf,0.467473078066468,NA,1.73055695865748,Inf,Inf,10.311,NA,"Atk658"
"1752",2.15551314332216e-06,53.745,24.611,63.624,0.652824005964097,1.9432732986987,2.17725832930982,9.879,39.013,10.603,-1.2904492927346,"Atk659"
"1753",2.41711914701674e-06,54.502,22.061,69.959,0.532508698129199,0.930624690450869,1.8782829366752,15.457,47.898,12.262,-0.398115992321669,"Atk66"
"1754",1.98010879670509e-06,58,22.462,Inf,0.453026130503889,NA,1.69939491650815,Inf,Inf,13.937,NA,"Atk660"
"1755",2.43863467355926e-06,55.571,20.747,65.103,0.473519903414549,1.24118593550399,1.75729870630415,9.53200000000001,44.356,13.639,-0.767666032089444,"Atk661"
"1756",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atk662"
"1757",1.77687747538168e-06,60.121,30.016,70.397,0.659393633839191,1.96391772404641,2.12259345260346,10.276,40.381,9.504,-1.30452409020722,"Atk663"
"1758",2.04692878735374e-06,56.435,28.5,81.444,0.674640074608802,0.517111026661899,2.19813072422427,25.009,52.944,11.84,0.157529047946903,"Atk664"
"1759",2.05512096851514e-06,57.497,30.289,63.699,0.700270569490084,2.66398378376055,2.2492484361622,6.202,33.41,9.279,-1.96371321427047,"Atk665"
"1760",7.14072129744482e-07,35.416,26.794,48.599,-1.04707811282388,NA,NA,13.183,21.805,4.875,NA,"Atk666"
"1761",8.94679333615502e-07,46.986,28.674,69.626,1.25436133554511,0.548514198270972,NA,22.64,40.952,10.414,0.705847137274139,"Atk667"
"1762",1.7197875204608e-06,57.245,30.798,64.64,0.769186796312328,1.73469379575718,2.45068082839619,7.395,33.842,9.341,-0.965506999444848,"Atk668"
"1763",1.23058447751677e-06,50.32,29.668,58.498,0.932142511389104,1.31816828188582,NA,8.178,28.83,9.10599999999999,-0.386025770496718,"Atk669"
"1764",1.74781310033396e-06,55.065,27.515,71.86,0.630051902361745,1.26551234616076,2.08578817861987,16.795,44.345,11.968,-0.635460443799016,"Atk67"
"1765",2.46173230610588e-06,55.136,16.586,65.932,0.410769577147951,1.00268874175525,1.63141254826674,10.796,49.346,11.966,-0.591919164607298,"Atk670"
"1766",3.36446123442606e-06,57,10.282,Inf,0.303306744086044,NA,1.43499516444947,Inf,Inf,11.032,NA,"Atk671"
"1767",2.53173897450005e-06,56.445,20.677,69.291,0.475398188878489,0.8739544685157,1.74836800334171,12.846,48.614,11.365,-0.39855627963721,"Atk672"
"1768",2.59611984013366e-06,58,20.79,Inf,0.460866205903345,NA,1.71164173375581,Inf,Inf,7.946,NA,"Atk673"
"1769",2.13694691376491e-06,48.719,13.985,71.794,0.394853608297466,0.627454111479159,1.62600361447301,23.075,57.809,19.79,-0.232600503181692,"Atk68"
"1770",2.03990002913135e-06,48.927,12.882,74.608,0.33842487751053,0.620578355888129,1.5139762403378,25.681,61.726,20.402,-0.282153478377599,"Atk69"
"1771",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atk7"
"1772",1.9185665582352e-06,47.144,11.45,66.872,0.309866023448653,0.752907990274272,1.46435497080032,19.728,55.422,22.675,-0.443041966825619,"Atk70"
"1773",2.13094507278751e-06,49.989,12.754,77.632,0.33252975393586,0.504326722944511,1.50272607839296,27.643,64.878,22.264,-0.17179696900865,"Atk71"
"1774",2.54319406968319e-06,51.383,15.748,68.13,0.436840385719866,1.09615657384994,1.69987361064653,16.747,52.382,13.007,-0.659316188130078,"Atk72"
"1775",2.45654771531052e-06,49.857,8.146,61.837,0.336031897594971,1.59231600719929,1.50991594714499,11.98,53.691,18.817,-1.25628410960432,"Atk73"
"1776",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atk74"
"1777",2.77045889027604e-06,51.914,10.766,71.128,0.339603371255608,0.749059079615229,1.51276192109751,19.214,60.362,16.966,-0.40945570835962,"Atk75"
"1778",2.18704195694146e-06,59.172,24.284,86.761,0.477786849292483,0.636164056947086,1.73959496537564,27.589,62.477,17.176,-0.158377207654602,"Atk76"
"1779",2.4603977798203e-06,59.19,19.038,84.46,0.428455534722413,0.677965294558192,1.64733247074146,25.27,65.422,15.84,-0.249509759835779,"Atk77"
"1780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atk78"
"1781",2.43784524328997e-06,57.304,17.143,82.7,0.332118717551005,0.624819430051443,1.47457990082709,25.396,65.557,18.966,-0.292700712500438,"Atk79"
"1782",2.02327197362647e-06,49.385,16.293,63.978,0.373905471033098,1.35809725070495,1.57360889704659,14.593,47.685,18.24,-0.984191779671854,"Atk8"
"1783",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atk80"
"1784",2.93871252507656e-06,54.415,11.706,Inf,0.325069680607148,0.105302742088314,1.47725719792841,Inf,Inf,27.469,0.219766938518834,"Atk81"
