ID,sharpschoolhigh_1981,sharpschoollow_1981,sharpschoolfull_1981,best_model
Atk185,-1461.63883,-1461.432935,-1463.820404,sharpschoollow_1981
Atk186,-1600.803476,-1573.282124,-1603.674632,sharpschoollow_1981
Atk187,-1371.803275,-1366.381184,-1374.565666,sharpschoollow_1981
Atk188,-1376.858121,-1359.183781,-1379.520664,sharpschoollow_1981
Atk189,-1130.858045,-1130.227702,-1127.120728,sharpschoolfull_1981
Atk19,-1569.933444,-1460.61179,-1595.715429,sharpschoollow_1981
Atk190,-1096.161871,-1095.929779,-1092.436247,sharpschoolfull_1981
Atk191,NULL,-972.9715019,NULL,sharpschoollow_1981
Atk192,-1462.348866,-1382.746592,-1486.539695,sharpschoollow_1981
Atk193,-1409.484119,-1366.6304,-1417.060904,sharpschoollow_1981
Atk194,-1457.29526,-1415.811788,-1460.481694,sharpschoollow_1981
Atk195,-1559.773451,-1495.995104,-1589.380737,sharpschoollow_1981
Atk196,-1420.450836,-1398.829396,-1416.544474,sharpschoollow_1981
Atk197,-1324.913753,-1282.38261,-1356.258394,sharpschoollow_1981
Atk198,-1538.388144,-1486.989619,-1611.303762,sharpschoollow_1981
Atk199,-1194.45329,-1131.998643,-1240.705228,sharpschoollow_1981
Atk2,-1414.194132,-1414.194132,-1424.943764,sharpschoolhigh_1981
Atk20,-1753.064459,-1633.366205,-1914.718575,sharpschoollow_1981
Atk200,-1416.047409,-1346.43923,-1457.920574,sharpschoollow_1981
Atk201,-1453.803426,-1362.272752,-1492.643707,sharpschoollow_1981
Atk202,-1383.144721,-1280.28944,-1416.796361,sharpschoollow_1981
Atk203,-1429.959935,-1356.605669,-1450.749022,sharpschoollow_1981
Atk204,-1457.03117,-1446.812825,-1491.436316,sharpschoollow_1981
Atk205,-1443.178663,-1369.152996,-1535.770376,sharpschoollow_1981
Atk206,-1359.437478,-1273.345596,-1410.51884,sharpschoollow_1981
Atk207,-1483.3221,-1405.090992,-1558.571184,sharpschoollow_1981
Atk208,-1295.553536,-1234.50837,-1344.64959,sharpschoollow_1981
Atk209,-1303.664092,-1258.537355,-1354.817354,sharpschoollow_1981
Atk21,NULL,-1163.405767,NULL,sharpschoollow_1981
Atk210,-1540.762274,-1464.146797,-1591.494039,sharpschoollow_1981
Atk211,-1498.06721,-1418.891049,-1542.4779,sharpschoollow_1981
Atk212,-1196.512642,-1196.502085,-1192.513678,sharpschoolfull_1981
Atk213,-1653.598705,-1569.247767,-1687.5242,sharpschoollow_1981
