ID,OriginalID,topt,e,q10,coef_e,ConCommon,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,StandardisedTraitName,StandardisedTraitUnit,Habitat,Citation,Metabolic_rate,PT
374,402,42.237039,0.407862355,1.68497545,0.348452033,NA,Viridiplantae,Streptophyta,Liliopsida,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton perfoliatus,respiration rate,mol o2 Kg(DW)^-1 s^-1,freshwater,"Pilon, J., & Santamaria, L. (2001). Seasonal acclimation in the photosynthetic and respiratory temperature responses of three submerged freshwater macrophyte species. New Phytologist, 151(3), 659_670.",R,
376,404,36.6457984,0.013966542,1.01834605,0.015411828,NA,Viridiplantae,Streptophyta,Liliopsida,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton perfoliatus,net photosynthesis,mol o2 Kg(DW)^-1 s^-1,freshwater,"Pilon, J., & Santamaria, L. (2001). Seasonal acclimation in the photosynthetic and respiratory temperature responses of three submerged freshwater macrophyte species. New Phytologist, 151(3), 659_670.",NP,
379,407,37.6563793,0.148409515,1.219855284,0.148755018,NA,Viridiplantae,Streptophyta,Liliopsida,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton perfoliatus,net photosynthesis,mol o2 Kg(DW)^-1 s^-1,freshwater,"Pilon, J., & Santamaria, L. (2001). Seasonal acclimation in the photosynthetic and respiratory temperature responses of three submerged freshwater macrophyte species. New Phytologist, 151(3), 659_670.",NP,
382,410,35.7523284,0.038872826,1.054630003,0.038873495,apical shoots,Viridiplantae,Streptophyta,NA,Lamiales,Plantaginaceae,Callitriche,Callitriche obtusangula,net photosynthesis,mol o2 Kg(DW)^-1 s^-1,freshwater,"Pilon, J., & Santamaria, L. (2001). Seasonal acclimation in the photosynthetic and respiratory temperature responses of three submerged freshwater macrophyte species. New Phytologist, 151(3), 659_670.",NP,
383,411,35.0582274,0.242152654,NA,NA,apical shoots,Viridiplantae,Streptophyta,NA,Lamiales,Plantaginaceae,Callitriche,Callitriche obtusangula,respiration rate,mol o2 Kg(DW)^-1 s^-1,freshwater,"Pilon, J., & Santamaria, L. (2001). Seasonal acclimation in the photosynthetic and respiratory temperature responses of three submerged freshwater macrophyte species. New Phytologist, 151(3), 659_670.",R,
385,413,31.621879,0.025564024,1.036218451,0.025565001,apical shoots,Viridiplantae,Streptophyta,NA,Lamiales,Plantaginaceae,Callitriche,Callitriche obtusangula,net photosynthesis,mol o2 Kg(DW)^-1 s^-1,freshwater,"Pilon, J., & Santamaria, L. (2001). Seasonal acclimation in the photosynthetic and respiratory temperature responses of three submerged freshwater macrophyte species. New Phytologist, 151(3), 659_670.",NP,
386,414,32.8671,0.364551138,NA,NA,apical shoots,Viridiplantae,Streptophyta,NA,Lamiales,Plantaginaceae,Callitriche,Callitriche obtusangula,respiration rate,mol o2 Kg(DW)^-1 s^-1,freshwater,"Pilon, J., & Santamaria, L. (2001). Seasonal acclimation in the photosynthetic and respiratory temperature responses of three submerged freshwater macrophyte species. New Phytologist, 151(3), 659_670.",R,
388,416,37.163331,0.062635997,1.089460797,0.062635804,apical shoots,Viridiplantae,Streptophyta,NA,Lamiales,Plantaginaceae,Callitriche,Callitriche obtusangula,net photosynthesis,mol o2 Kg(DW)^-1 s^-1,freshwater,"Pilon, J., & Santamaria, L. (2001). Seasonal acclimation in the photosynthetic and respiratory temperature responses of three submerged freshwater macrophyte species. New Phytologist, 151(3), 659_670.",NP,
389,417,31.723056,0.429857014,NA,NA,apical shoots,Viridiplantae,Streptophyta,NA,Lamiales,Plantaginaceae,Callitriche,Callitriche obtusangula,respiration rate,mol o2 Kg(DW)^-1 s^-1,freshwater,"Pilon, J., & Santamaria, L. (2001). Seasonal acclimation in the photosynthetic and respiratory temperature responses of three submerged freshwater macrophyte species. New Phytologist, 151(3), 659_670.",R,
391,419,30.304172,0.08416789,1.123011432,0.086129636,apical shoots,Viridiplantae,Streptophyta,NA,Lamiales,Plantaginaceae,Callitriche,Callitriche obtusangula,net photosynthesis,mol o2 Kg(DW)^-1 s^-1,freshwater,"Pilon, J., & Santamaria, L. (2001). Seasonal acclimation in the photosynthetic and respiratory temperature responses of three submerged freshwater macrophyte species. New Phytologist, 151(3), 659_670.",NP,
