ID,OriginalID,topt,e,ConCommon,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,StandardisedTraitName,habitat,Citation,Metabolic_rate,Habitat,PT
1758,Atk664,56.435,0.674640075,NA,Plantae,Spermatophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Vaccinium vitus,respiration rate,terrestrial,NA,R,Terrestrial,C3
1759,Atk665,57.497,0.700270569,NA,Plantae,Spermatophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Vaccinium vitus,respiration rate,terrestrial,NA,R,Terrestrial,C3
1764,Atk67,55.065,0.630051902,NA,Plantae,Spermatophyta,Magnoliopsida,Ericales,Ericaceae,Rhododendron,Rhododendron lapponicum,respiration rate,terrestrial,NA,R,Terrestrial,C3
1765,Atk670,55.136,0.410769577,NA,Plantae,Spermatophyta,Magnoliopsida,Ericales,Ericaceae,Calluna,Calluna vulgaris,respiration rate,terrestrial,NA,R,Terrestrial,C3
1767,Atk672,56.445,0.475398189,NA,Plantae,Spermatophyta,Magnoliopsida,Ericales,Ericaceae,Calluna,Calluna vulgaris,respiration rate,terrestrial,NA,R,Terrestrial,C3
1769,Atk68,48.719,0.394853608,NA,Plantae,Spermatophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus chamaemorus,respiration rate,terrestrial,NA,R,Terrestrial,C3
1770,Atk69,48.927,0.338424878,NA,Plantae,Spermatophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus chamaemorus,respiration rate,terrestrial,NA,R,Terrestrial,C3
1771,Atk7,45.517,0.412259278,NA,Plantae,Spermatophyta,Magnoliopsida,Fagales,Betulaceae,Alnus,Alnus tenuifolia,respiration rate,terrestrial,NA,R,Terrestrial,C3
1772,Atk70,47.144,0.309866023,NA,Plantae,Spermatophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus chamaemorus,respiration rate,terrestrial,NA,R,Terrestrial,C3
1773,Atk71,49.989,0.332529754,NA,Plantae,Spermatophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus chamaemorus,respiration rate,terrestrial,NA,R,Terrestrial,C3
1774,Atk72,51.383,0.436840386,NA,Plantae,Spermatophyta,Magnoliopsida,Violales,Salicaceae,Salix,Salix reticulata,respiration rate,terrestrial,NA,R,Terrestrial,C3
1775,Atk73,49.857,0.336031898,NA,Plantae,Spermatophyta,Magnoliopsida,Violales,Salicaceae,Salix,Salix reticulata,respiration rate,terrestrial,NA,R,Terrestrial,C3
1776,Atk74,48.77,0.360948453,NA,Plantae,Spermatophyta,Magnoliopsida,Violales,Salicaceae,Salix,Salix reticulata,respiration rate,terrestrial,NA,R,Terrestrial,C3
1777,Atk75,50.181,0.35200003,NA,Plantae,Spermatophyta,Magnoliopsida,Violales,Salicaceae,Salix,Salix reticulata,respiration rate,terrestrial,NA,R,Terrestrial,C3
1778,Atk76,59.172,0.477786849,NA,Plantae,Spermatophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Vaccinium vitis-ideae,respiration rate,terrestrial,NA,R,Terrestrial,C3
1779,Atk77,59.19,0.428455535,NA,Plantae,Spermatophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Vaccinium vitis-ideae,respiration rate,terrestrial,NA,R,Terrestrial,C3
1780,Atk78,57.08,0.503132508,NA,Plantae,Spermatophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Vaccinium vitis-ideae,respiration rate,terrestrial,NA,R,Terrestrial,C3
1781,Atk79,55.222,0.328112686,NA,Plantae,Spermatophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Vaccinium vitis-ideae,respiration rate,terrestrial,NA,R,Terrestrial,C3
1782,Atk8,49.385,0.373905471,NA,Plantae,Spermatophyta,Magnoliopsida,Fagales,Betulaceae,Alnus,Alnus tenuifolia,respiration rate,terrestrial,NA,R,Terrestrial,C3
1783,Atk80,48.525,0.379893246,NA,Plantae,Spermatophyta,Magnoliopsida,Sapindales?,Meliaceae,Carapa,Carapa procera,respiration rate,terrestrial,NA,R,Terrestrial,C3
1784,Atk81,53.985,0.407640912,NA,Plantae,Spermatophyta,Magnoliopsida,Sapindales?,Meliaceae,Carapa,Carapa procera,respiration rate,terrestrial,NA,R,Terrestrial,C3
1788,Atk85,55.642,0.269051266,NA,Plantae,Spermatophyta,Magnoliopsida,"	Fabales",Fabaceae,Eperua,Eperua falcata,respiration rate,terrestrial,NA,R,Terrestrial,C3
1790,Atk87,58.97,0.330422593,NA,Plantae,Spermatophyta,Magnoliopsida,Ericales,Lecythidaceae,Eschweilera,Eschweilera coriacea,respiration rate,terrestrial,NA,R,Terrestrial,C3
1792,Atk89,51.361,1.161181597,NA,Plantae,Spermatophyta,Magnoliopsida,Ericales,Lecythidaceae,Eschweilera,Eschweilera coriacea,respiration rate,terrestrial,NA,R,Terrestrial,C3
1793,Atk9,43.414,0.285424604,NA,Plantae,Magnoliophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Anemonastrum,Anemone narcissiflora,respiration rate,terrestrial,NA,R,Terrestrial,C3
1794,Atk90,55.916,0.272639571,NA,Plantae,Spermatophyta,Magnoliopsida,Ericales,Lecythidaceae,Eschweilera,Eschweilera coriacea,respiration rate,terrestrial,NA,R,Terrestrial,C3
1795,Atk91,65.184,0.169846633,NA,Plantae,Spermatophyta,Magnoliopsida,Ericales,Lecythidaceae,Eschweilera,Eschweilera parviflora,respiration rate,terrestrial,NA,R,Terrestrial,C3
1796,Atk92,63.319,0.286347844,NA,Plantae,Spermatophyta,Magnoliopsida,Ericales,Lecythidaceae,Eschweilera,Eschweilera parviflora,respiration rate,terrestrial,NA,R,Terrestrial,C3
1798,Atk94,54.543,0.19271016,NA,Plantae,Spermatophyta,Magnoliopsida,Magnoliales,Myristicaceae,Iryanthera,Iryanthera hostmannii,respiration rate,terrestrial,NA,R,Terrestrial,C3
1800,Atk96,60.615,1.127591697,NA,Plantae,Spermatophyta,Magnoliopsida,Lecythidales,Lecythidaceae,Lecythis,Lecythis persistens,respiration rate,terrestrial,NA,R,Terrestrial,C3
1801,Atk97,57.226,0.648125699,NA,Plantae,Spermatophyta,Magnoliopsida,Lecythidales,Lecythidaceae,Lecythis,Lecythis persistens,respiration rate,terrestrial,NA,R,Terrestrial,C3
1804,MR001,27.7832,0.385325717,NA,Plantae,Spermatophyta,Magnoliopsida,Fagales,Fagaceae,Fagus,Fagus sylvatica,net photosynthesis,terrestrial,"Sigut, L., Holi ova, P., Klem, K., Prtova, M., Calfapietra, C., Marek, M. V., & Urban, O. (2015). Does long-term cultivation of saplings under elevated CO2 concentration influence their photosynthetic response to temperature? Annals of Botany, mcv043_. http://doi.org/10.1093/aob/mcv043",NP,Terrestrial,CAM
1805,MR002,27.8573,0.145287433,NA,Plantae,Spermatophyta,Magnoliopsida,Fagales,Fagaceae,Fagus,Fagus sylvatica,net photosynthesis,terrestrial,"Sigut, L., Holi ova, P., Klem, K., Prtova, M., Calfapietra, C., Marek, M. V., & Urban, O. (2015). Does long-term cultivation of saplings under elevated CO2 concentration influence their photosynthetic response to temperature? Annals of Botany, mcv043_. http://doi.org/10.1093/aob/mcv043",NP,Terrestrial,CAM
1806,MR003,27.7812,0.144820619,NA,Plantae,Spermatophyta,Magnoliopsida,Fagales,Fagaceae,Fagus,Fagus sylvatica,net photosynthesis,terrestrial,"Sigut, L., Holi ova, P., Klem, K., Prtova, M., Calfapietra, C., Marek, M. V., & Urban, O. (2015). Does long-term cultivation of saplings under elevated CO2 concentration influence their photosynthetic response to temperature? Annals of Botany, mcv043_. http://doi.org/10.1093/aob/mcv043",NP,Terrestrial,CAM
1807,MR004,30.0752,0.328693951,NA,Plantae,Spermatophyta,Magnoliopsida,Fagales,Fagaceae,Fagus,Fagus sylvatica,net photosynthesis,terrestrial,"Sigut, L., Holi ova, P., Klem, K., Prtova, M., Calfapietra, C., Marek, M. V., & Urban, O. (2015). Does long-term cultivation of saplings under elevated CO2 concentration influence their photosynthetic response to temperature? Annals of Botany, mcv043_. http://doi.org/10.1093/aob/mcv043",NP,Terrestrial,CAM
1808,MR005,23.405,0.059534313,NA,Plantae,Pinophyta,Pinopsida,Pinales,Pinaceae,Picea,Picea abies,net photosynthesis,terrestrial,"Sigut, L., Holi ova, P., Klem, K., Prtova, M., Calfapietra, C., Marek, M. V., & Urban, O. (2015). Does long-term cultivation of saplings under elevated CO2 concentration influence their photosynthetic response to temperature? Annals of Botany, mcv043_. http://doi.org/10.1093/aob/mcv043",NP,Terrestrial,C3
1809,MR006,20.7597,0.831419505,NA,Plantae,Pinophyta,Pinopsida,Pinales,Pinaceae,Picea,Picea abies,net photosynthesis,terrestrial,"Sigut, L., Holi ova, P., Klem, K., Prtova, M., Calfapietra, C., Marek, M. V., & Urban, O. (2015). Does long-term cultivation of saplings under elevated CO2 concentration influence their photosynthetic response to temperature? Annals of Botany, mcv043_. http://doi.org/10.1093/aob/mcv043",NP,Terrestrial,C3
1810,MR007,21.0772,0.826083158,NA,Plantae,Pinophyta,Pinopsida,Pinales,Pinaceae,Picea,Picea abies,net photosynthesis,terrestrial,"Sigut, L., Holi ova, P., Klem, K., Prtova, M., Calfapietra, C., Marek, M. V., & Urban, O. (2015). Does long-term cultivation of saplings under elevated CO2 concentration influence their photosynthetic response to temperature? Annals of Botany, mcv043_. http://doi.org/10.1093/aob/mcv043",NP,Terrestrial,C3
1811,MR008,23.9611,0.499278337,NA,Plantae,Pinophyta,Pinopsida,Pinales,Pinaceae,Picea,Picea abies,net photosynthesis,terrestrial,"Sigut, L., Holi ova, P., Klem, K., Prtova, M., Calfapietra, C., Marek, M. V., & Urban, O. (2015). Does long-term cultivation of saplings under elevated CO2 concentration influence their photosynthetic response to temperature? Annals of Botany, mcv043_. http://doi.org/10.1093/aob/mcv043",NP,Terrestrial,C3
1812,MR015,28.4579,0.37007014,NA,Plantae,Spermatophyta,Magnoliopsida,Fagales,Fagaceae,Fagus,Fagus sylvatica,net photosynthesis,terrestrial,"Sigut, L., Holi ova, P., Klem, K., Prtova, M., Calfapietra, C., Marek, M. V., & Urban, O. (2015). Does long-term cultivation of saplings under elevated CO2 concentration influence their photosynthetic response to temperature? Annals of Botany, mcv043_. http://doi.org/10.1093/aob/mcv043",NP,Terrestrial,CAM
1813,MR016,30.9981,0.303530723,NA,Plantae,Spermatophyta,Magnoliopsida,Fagales,Fagaceae,Fagus,Fagus sylvatica,net photosynthesis,terrestrial,"Sigut, L., Holi ova, P., Klem, K., Prtova, M., Calfapietra, C., Marek, M. V., & Urban, O. (2015). Does long-term cultivation of saplings under elevated CO2 concentration influence their photosynthetic response to temperature? Annals of Botany, mcv043_. http://doi.org/10.1093/aob/mcv043",NP,Terrestrial,CAM
