,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,orginalID,AIC
110,3.10E-05,20.7398503,-21.2821497,Inf,0.274934124,0.262829605,1.474366165,Inf,Inf,18.852,0.012104519,110,-184.8033214
111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,NULL
112,2.53E-05,21.844588,-19.373412,54.639588,0.350965952,0.748362446,1.637059192,32.795,74.013,14.057,-0.397396494,112,-192.7917727
113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,NULL
114,2.11E-05,22.096607,-17.428393,65.247607,0.350458985,0.340175688,1.634745647,43.151,82.676,15.583,0.010283297,114,-178.1818401
115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,NULL
116,2.87E-05,29.897485,#NAME?,52.955485,0.109091016,0.950470618,1.156567471,23.058,Inf,24.629,-0.841379602,116,-274.0222431
117,3.85E-05,34.582182,#NAME?,60.761182,0.18949127,0.446438731,1.289271617,26.179,Inf,22.083,-0.256947462,117,-321.4063304
118,4.92E-05,36.654939,#NAME?,75.701939,0.19472207,0.269311681,1.292045417,39.047,Inf,22.657,-0.074589611,118,-324.3595204
119,1.74E-05,26.512,21.968,79.088,NA,0.528509809,NA,52.576,57.12,5.714,NA,119,-127.09818
120,1.60E-05,32.282,#NAME?,85.151,NA,0.28104592,NA,52.869,Inf,17.494,NA,120,-128.7499735
121,1.54E-05,29.473,-13.142,85.242,NA,0.27431307,NA,55.769,98.384,13.772,NA,121,-123.6035607
122,1.57E-05,31.324,#NAME?,77.778,NA,0.363574863,NA,46.454,Inf,15.766,NA,122,-127.3341313
123,1.71E-05,31.544,-21.651,74.805,NA,0.404152291,NA,43.261,96.456,15.267,NA,123,-126.8559218
124,1.57E-05,27.489,14.481,Inf,NA,0.390552588,NA,Inf,Inf,9.137,NA,124,-145.7660989
125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,NULL
126,1.46E-05,42.174,-0.465,79.571,0.410681969,NA,1.658822441,37.397,80.036,10.69,NA,126,-139.1693376
127,1.57E-05,28.045,5.331,93.839,NA,0.356765805,NA,65.794,88.508,10.86,NA,127,-132.4720577
128,1.57E-05,30.085,-9.47,84.999,NA,0.405619335,NA,54.914,94.469,14.012,NA,128,-126.6476739
129,1.56E-05,30.414,#NAME?,79.27,NA,0.346477883,NA,48.856,Inf,15.465,NA,129,-135.1618602
130,1.57E-05,33.251,#NAME?,76.103,NA,0.212424556,NA,42.852,Inf,19.038,NA,130,-154.1991865
131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,NULL
132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,NULL
133,8.13E-06,16.376,1.746,Inf,0.977712027,NA,4.037561424,Inf,Inf,7.627,NA,133,-119.7336163
134,-5.32E-07,5,5,5,NA,-0.452049642,NA,0,0,#NAME?,NA,134,-119.9723258
135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,NULL
136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,NULL
137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,NULL
138,3.46E-05,37.083051,-14.627949,58.580051,0.322552443,0.863181881,1.503121335,21.497,73.208,12.982,-0.540629438,138,-168.6051107
139,5.51E-05,32.249474,-25.347526,52.562474,0.237197548,0.823812326,1.356667006,20.313,77.91,13.476,-0.586614777,139,-180.5848759
140,6.31E-05,40.948317,#NAME?,54.174317,0.102563851,1.295708365,1.134523306,13.226,Inf,20.632,-1.193144514,140,-220.7973391
141,5.36E-06,28.158516,-16.210484,32.748516,0.447217891,5.696684469,1.847154421,4.59,48.959,6.143,-5.249466578,143,-201.0648126
142,0.030271209,28.131,-23.245,43.219,0.382148241,NA,1.695548361,15.088,66.464,10.959,NA,144,-76.86359523
143,0.004947677,30.513,-20.306,69.451,0.310557597,NA,1.522132736,38.938,89.757,13.558,NA,145,-86.7291084
144,0.02136162,29.323,-10.772,Inf,0.353103381,NA,1.626384215,Inf,Inf,16.861,NA,146,-69.2683232
145,0.006926928,28.293,-18.887,46.596,0.391470115,NA,1.711810874,18.303,65.483,11.43,NA,147,-79.09459463
146,0.034635001,32.255,-3.649,57.462,0.537716959,NA,2.051863558,25.207,61.111,11.477,NA,148,-69.17502133
147,0.002021712,38.539,4.524,41.326,0.668598765,NA,2.370781042,2.787,36.802,4.477,NA,149,-101.2735454
148,4.26E-06,54.265781,1.879781,Inf,0.322487972,NA,1.478762645,Inf,Inf,12.191,NA,150,-355.3496224
149,4.15E-06,54.830553,4.935553,Inf,0.315990693,NA,1.459968605,Inf,Inf,14.034,NA,151,-195.5326717
150,1.41E-05,44.0606397,-2.8513603,72.8166397,0.439991307,0.496279918,1.739776808,28.756,75.668,14.118,-0.056288611,152,-359.4069178
151,1.43E-05,45.7331864,-7.3728136,64.3901864,0.399009708,NA,1.648368143,18.657,71.763,12.318,NA,153,-292.617212
152,1.80E-05,45.786791,2.763791,59.288791,0.501175346,1.514349754,1.851101753,13.502,56.525,9.367,-1.013174408,154,-359.900574
153,1.80E-05,45.545353,4.942353,71.132353,0.513050971,NA,1.890269809,25.587,66.19,10.411,NA,155,-345.2454342
154,3.16E-05,41.067606,1.355606,76.396606,0.540160323,0.487389686,1.999021846,35.329,75.041,14.213,0.052770637,156,-538.0742692
155,3.17E-05,40.0307194,3.7677194,78.2997194,0.515262462,0.555227302,1.92452637,38.269,74.532,14.044,-0.03996484,157,-530.3868052
156,0.000113103,23.1195406,-15.5604594,61.2405406,0.402948419,0.441353667,1.762664648,38.121,76.801,14.529,-0.038405248,174,-141.0597637
157,7.30E-05,21.5772366,-13.4877634,Inf,0.355099841,0.286648067,1.648690172,Inf,Inf,17.906,0.068451774,175,-155.6043403
158,4.36E-05,21.9125357,-21.8414643,54.5935357,0.329661492,0.558988273,1.590107284,32.681,76.435,14.474,-0.229326781,176,-159.6850067
159,6.72E-05,21.729607,-18.201393,70.273607,0.309615469,0.413579665,1.54508554,48.544,88.475,16.488,-0.103964196,177,-146.153204
160,7.21E-05,21.0395047,-22.4024953,62.3855047,0.304280671,0.438548866,1.535779132,41.346,84.788,16.086,-0.134268195,178,-160.3447289
161,9.60E-05,24.905095,-30.062905,56.385095,0.289956435,0.364605233,1.504275233,31.48,86.448,16.162,-0.074648798,179,-148.0541517
162,6.46E-05,21.8241567,-29.3638433,53.7351567,0.277334343,0.555079762,1.478395765,31.911,83.099,15.63,-0.277745419,180,-157.6941275
163,6.06E-05,22.387245,-22.697755,63.806245,0.315537701,0.392803217,1.559888464,41.419,86.504,16.453,-0.077265516,181,-157.0355789
164,8.54E-05,22.3932366,-11.7037634,55.6942366,0.460888015,0.615363943,1.909668872,33.301,67.398,12.768,-0.154475928,182,-148.7402667
165,5.83E-05,21.5069863,-26.6430137,57.0139863,0.27039854,0.535223312,1.463114709,35.507,83.657,15.892,-0.264824772,183,-151.7136169
166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,NULL
167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,NULL
168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,NULL
169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187,NULL
170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188,NULL
171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,NULL
172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,NULL
173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191,NULL
174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,NULL
175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193,NULL
176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,NULL
177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,NULL
178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,NULL
179,6.17E-07,25.10759,-6.27841,41.61759,0.559891449,NA,2.151632586,16.51,47.896,8.68,NA,197,-189.355818
180,6.72E-07,28.27559,-30.02041,31.11659,0.326713283,NA,1.570496089,2.841,61.137,6.883,NA,198,-195.197091
181,6.19E-07,23.05559,-29.23541,39.12159,0.351152891,NA,1.640309548,16.066,68.357,11.416,NA,199,-177.3972172
182,8.88E-07,19.4145737,-4.6174263,53.7245737,0.863355278,0.429016177,3.446264207,34.31,58.342,10.687,0.434339101,200,-177.6189761
183,2.64E-05,20.81397,-28.30603,83.80897,NA,0.25184994,NA,62.995,112.115,16.719,NA,201,-139.4101054
184,2.72E-05,26.758132,-9.519868,Inf,0.278657756,0.105250356,1.457961815,Inf,Inf,17.177,0.1734074,202,-198.0082476
185,2.41E-05,31.25195,-7.73905,Inf,0.224480523,NA,1.337536791,Inf,Inf,17.875,NA,203,-147.8660726
186,2.32E-05,34.440803,#NAME?,51.568803,0.109228332,0.826951282,1.15381313,17.128,Inf,25.125,-0.71772295,204,-185.1883033
187,2.72E-05,36.373003,-33.765997,54.301003,0.251771874,1.200453306,1.379851209,17.928,88.067,14.422,-0.948681431,205,-340.2262529
188,2.34E-05,39.485497,-31.395503,63.786497,0.249287484,0.58753242,1.369370155,24.301,95.182,16.648,-0.338244937,206,-587.6704645
189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207,NULL
190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,NULL
191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,NULL
192,0.002136498,21.5243065,-5.0866935,59.0713065,0.688327789,NA,2.644539389,37.547,64.158,11.757,NA,210,-77.39837448
193,0.0007906,23.8355678,-24.1194322,50.0145678,0.404999577,NA,1.781132868,26.179,74.134,13.696,NA,211,-95.05036245
194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,NULL
195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213,NULL
196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214,NULL
