,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,orginalID
504,2.24E-05,38.229151,2.688151,Inf,0.184801241,NA,1.271292483,Inf,Inf,23.594,NA,534
505,1.55E-05,31.520818,-0.181182,Inf,0.543107328,NA,2.041421655,Inf,Inf,5.029,NA,535
506,2.28E-05,38.648455,-4.906545,Inf,0.497296451,NA,1.919599416,Inf,Inf,4.854,NA,536
507,1.06E-05,39.666212,-3.125788,Inf,0.24069208,NA,1.368534509,Inf,Inf,17.454,NA,537
508,5.44E-06,40,4.949,Inf,0.448824126,NA,1.777063875,Inf,Inf,7.409,NA,538
509,5.80E-06,40,3.657,Inf,0.615927527,NA,2.173808634,Inf,Inf,3.032,NA,539
510,7.66E-06,40,9.459,Inf,0.531163508,NA,1.969011651,Inf,Inf,3.743,NA,540
511,7.41E-06,40,5.316,Inf,0.444516116,NA,1.770391152,Inf,Inf,4.973,NA,541
512,7.27E-06,40,-3.502,Inf,0.386211346,NA,1.645552271,Inf,Inf,6.946,NA,542
513,3.16E-06,40,3.591,Inf,0.52065774,NA,1.941365514,Inf,Inf,4.066,NA,543
514,4.86E-06,40,5.055,Inf,0.581300922,NA,2.088770678,Inf,Inf,3.388,NA,544
515,3.91E-06,40,3.606,Inf,0.520418142,NA,1.940928103,Inf,Inf,4.105,NA,545
516,7.11E-06,39.912854,1.986854,Inf,0.573568697,NA,2.117314704,Inf,Inf,5.842,NA,546
517,8.59E-06,35.27511,4.60711,Inf,0.554220368,NA,2.107207288,Inf,Inf,3.73,NA,547
518,0.000693864,40,-18.614,Inf,0.351167103,NA,1.554231258,Inf,Inf,5.28,NA,548
519,0.000822918,40,-7.056,Inf,0.45729133,NA,1.769876126,Inf,Inf,4.071,NA,549
520,0.000610234,40,-26.643,Inf,0.299117063,NA,1.456961435,Inf,Inf,6.181,NA,550
521,0.00063796,40,15.063,Inf,-0.013544774,NA,0.9747146,Inf,Inf,17.616,NA,551
522,0.000499971,40,11.665,Inf,0.145208675,NA,1.192102517,Inf,Inf,14.653,NA,552
523,0.000713639,40,-28.907,Inf,0.28663153,NA,1.435374386,Inf,Inf,6.445,NA,553
524,0.001068369,40,-13.634,Inf,0.391280119,NA,1.63776152,Inf,Inf,4.747,NA,554
525,0.000816587,40,5.196,Inf,0.254839865,NA,1.371122327,Inf,Inf,10.936,NA,555
526,0.000682498,40,-1.67,Inf,0.269762144,NA,1.398472388,Inf,Inf,9.07,NA,556
527,2.77E-06,39.935861,-8.853139,Inf,0.226843262,NA,1.344131319,Inf,Inf,13.791,NA,557
528,2.79E-06,39.990384,-5.508616,Inf,0.265300793,NA,1.419014448,Inf,Inf,16.547,NA,558
529,3.33E-06,40.049186,-11.318814,Inf,0.379099955,NA,1.651229227,Inf,Inf,6.989,NA,559
530,2.63E-06,40.037178,-0.708822,Inf,0.283834551,NA,1.445411655,Inf,Inf,17.616,NA,560
531,3.16E-06,39.9405415,-8.1204585,Inf,0.398156038,NA,1.693914452,Inf,Inf,7.78,NA,561
532,2.70E-06,39.990186,0.028186,Inf,0.210586453,NA,1.315190263,Inf,Inf,14.925,NA,562
533,2.72E-06,40.093682,-2.981318,Inf,0.285301207,NA,1.446797854,Inf,Inf,15.72,NA,563
534,8.85E-06,20.3015204,-7.0584796,Inf,0.592282119,NA,2.298463899,Inf,Inf,3.734,NA,564
535,6.52E-06,19.307159,#NAME?,Inf,0.083605763,NA,1.121114412,Inf,Inf,3.795,NA,565
536,6.44E-06,19.269575,15.901575,Inf,0.392682515,NA,1.711612134,Inf,Inf,1.805,NA,566
537,7.45E-06,19.380861,4.774861,Inf,0.77472605,NA,2.99069709,Inf,Inf,2.399,NA,567
538,6.73E-06,19.306918,10.074918,Inf,-0.146247352,NA,0.817971057,Inf,Inf,1.584,NA,568
539,5.55E-06,21.868038,4.013038,Inf,0.94677114,NA,3.626997544,Inf,Inf,2.929,NA,569
540,1.33E-06,22.096277,-27.195723,Inf,0.380532846,NA,1.692882031,Inf,Inf,4.935,NA,570
541,1.45E-06,22.286749,-9.234251,Inf,0.374914245,NA,1.672971522,Inf,Inf,5.613,NA,571
542,1.52E-06,22.545972,#NAME?,Inf,0.26276918,NA,1.440085079,Inf,Inf,6.846,NA,572
543,8.67E-06,37.336668,9.193668,Inf,0.133435119,NA,1.191877901,Inf,Inf,21.063,NA,573
544,8.00E-06,38.469003,8.421003,Inf,0.187101806,NA,1.27521216,Inf,Inf,21.081,NA,574
545,4.00E-06,39.816796,11.526796,Inf,0.116402016,NA,1.16047483,Inf,Inf,22.131,NA,575
546,8.69E-06,38.079705,11.985705,Inf,0.277586214,NA,1.433908433,Inf,Inf,18.961,NA,576
547,1.11E-05,40.273539,13.793539,Inf,0.153135199,NA,1.215510393,Inf,Inf,21.613,NA,577
548,1.59E-06,35.225499,-6.651501,Inf,0.385323673,NA,1.66677161,Inf,Inf,6.599,NA,578
549,2.48E-06,37.328106,4.965106,Inf,0.51342857,NA,1.97235685,Inf,Inf,12.211,NA,579
550,1.53E-06,37.366966,11.665966,Inf,0.409280656,NA,1.718255787,Inf,Inf,18.292,NA,580
551,1.56E-06,35.8247215,12.3217215,Inf,0.412976967,NA,1.721815748,Inf,Inf,13.753,NA,581
552,3.04E-06,38.53997,10.48897,Inf,0.454938114,NA,1.823567278,Inf,Inf,7.803,NA,582
553,6.52E-05,28.004384,7.489384,Inf,1.092125755,NA,4.346982119,Inf,Inf,3.002,NA,583
554,1.16E-05,28.0047343,#NAME?,Inf,-0.390801244,NA,0.575628174,Inf,Inf,21.991,NA,584
555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,585
556,7.18E-19,25,#NAME?,Inf,-0.035132024,NA,0.947374389,Inf,Inf,12.095,NA,586
557,1.78E-18,30,-21.012,Inf,-0.188680711,NA,0.764861367,Inf,Inf,14.644,NA,587
558,5.72E-18,30,-21.995,Inf,0.132133191,NA,1.187202198,Inf,Inf,11.019,NA,588
559,8.33E-18,30,-16.241,Inf,0.174744749,NA,1.257595887,Inf,Inf,9.578,NA,589
560,5.35E-18,35,#NAME?,Inf,0.004266781,NA,0.994358958,Inf,Inf,30,NA,590
561,3.28E-18,34.975,#NAME?,Inf,0.129670391,NA,1.183530336,Inf,Inf,34.975,NA,591
562,9.46E-18,34.99598887,-15.06501113,Inf,0.23262453,NA,1.362357668,Inf,Inf,12.968,NA,592
563,4.65E-18,34.993546,#NAME?,Inf,0.22449882,NA,1.348839663,Inf,Inf,30.075,NA,593
